,Acousticness,Album,Artist,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,TimeSignature,Valence
29,0.00208,Blender,Collective Soul,0.61,220133,0.916,False,0.0039,0.0743,-4.581,0,Boast,21,0.0792,97.004,4,0.45
59,0.000877,Dosage,Collective Soul,0.547,173267,0.902,False,0.000563,0.0839,-5.56,1,Heavy,50,0.0371,106.923,4,0.548
89,0.18,"Hints, Allegations & Things Left Unsaid",Collective Soul,0.683,208000,0.415,False,0.00311,0.0907,-15.918,0,All,26,0.0274,105.074,4,0.889
119,0.0073,Live,Collective Soul,0.531,382573,0.898,False,0.417,0.808,-5.594,1,December - Live,27,0.0369,122.002,4,0.133
149,0.0038,Youth,Collective Soul,0.565,212307,0.794,False,0.000219,0.361,-4.783,1,Under Heaven's Skies,9,0.0349,108.058,4,0.415
27,0.197,Live At Open Air Gampel (2004),Everlast,0.323,279751,0.515,False,8.61e-05,0.925,-12.842,1,Broken,15,0.0385,152.466,4,0.267
57,0.476,"Love, War and the Ghost of Whitey Ford",Everlast,0.314,252946,0.557,False,0.206,0.12,-8.373,1,Anyone,28,0.0455,133.873,4,0.185
87,0.017,Songs of the Ungrateful Living,Everlast,0.737,205979,0.732,False,8.36e-06,0.0758,-4.051,0,The Rain,27,0.2,92.016,4,0.629
117,0.0021,White Trash Beautiful,Everlast,0.656,227920,0.778,False,8.97e-05,0.162,-3.956,0,2 Pieces Of Drama,28,0.0405,86.015,4,0.237
147,0.0019,Whitey Ford's House of Pain,Everlast,0.494,215613,0.835,True,6.98e-05,0.131,-7.334,1,Don't Complain,33,0.0604,82.903,4,0.201
25,0.00781,Something In The Air,Lila McCann,0.727,171707,0.688,False,0,0.102,-6.975,1,Rhymes With,11,0.0315,134.953,4,0.643
13,0.0765,Performs New Kids On the Block,Jordan Knight,0.571,250293,0.541,False,1.49e-06,0.0853,-6.316,1,Please Don't Go Girl,12,0.0251,75.713,4,0.226
43,0.352,Performs New Kids On the Block,Jordan Knight,0.676,256893,0.576,False,0.0,0.34,-8.341,1,I'll Be Loving You (Forever) - Additional Mix,2,0.0276,140.004,4,0.703
0,0.127,Hillbilly Deluxe,Dwight Yoakam,0.727,201240,0.611,False,0.00256,0.361,-11.007,1,Little Ways,44,0.0585,131.869,4,0.829
30,0.0993,A Long Way Home,Dwight Yoakam,0.641,169840,0.458,False,0.00331,0.129,-8.233,1,I'll Just Take These,15,0.0242,100.037,4,0.42
60,0.099,Come On Christmas,Dwight Yoakam,0.586,181120,0.62,False,0.00272,0.126,-11.249,1,Silver Bells,7,0.0276,98.098,4,0.911
90,0.284,Dwight Sings Buck,Dwight Yoakam,0.639,160400,0.839,False,0.0017,0.096,-5.614,1,Down on the Corner of Love,19,0.0389,131.092,4,0.939
120,0.64,dwightyoakamacoustic.net,Dwight Yoakam,0.505,265000,0.408,False,0.0,0.272,-5.973,1,Johnson's Love - Acoustic,17,0.0272,102.677,3,0.501
150,0.427,"Guitars, Cadillacs, Etc., Etc.",Dwight Yoakam,0.6,184440,0.481,False,0.000199,0.0474,-10.631,1,It Won't Hurt,37,0.0378,123.639,4,0.694
180,0.377,"Guitars, Cadillacs, Etc., Etc. [Expanded]",Dwight Yoakam,0.605,181760,0.845,False,2.93e-06,0.766,-6.426,1,"Honky Tonk Man - Live at The Roxy, Hollywood, CA, March 1986",16,0.205,144.19,4,0.714
210,0.0547,Just Lookin' For A Hit,Dwight Yoakam,0.689,228453,0.585,False,0.00055,0.206,-5.194,1,I Sang Dixie,22,0.0274,114.844,4,0.507
240,0.0449,"Live From Austin, TX",Dwight Yoakam,0.407,263520,0.808,False,0.000152,0.669,-8.408,1,This Drinkin' Will Kill Me - Live,15,0.0904,142.96,4,0.65
270,0.309,"South Of Heaven, West Of Hell: Songs And Score From And Inspired By The Motion Picture",Dwight Yoakam,0.0,10333,0.26,False,0.0,0.377,-14.746,1,How Long Was It,0,0.0,0.0,0,0.0
300,0.846,The Broadcast Collection 1985-87 (Live),Dwight Yoakam,0.58,197448,0.0614,False,1.13e-06,0.115,-32.875,1,Interview Part 4 - Live 1985,5,0.945,173.345,3,0.416
330,0.552,The Broadcast Collection 1985-87 (Live),Dwight Yoakam,0.371,226679,0.442,False,3.08e-05,0.976,-17.871,1,Honky Tonk Man - Live 1987,3,0.0848,78.766,4,0.719
360,0.0221,Tomorrow's Sounds Today,Dwight Yoakam,0.666,141040,0.826,False,1.83e-05,0.47,-4.235,1,A World of Blue,14,0.0338,131.256,4,0.865
15,0.307,Manu Dibango & Friends Presents Sax Lounge Emotion,Terry Dexter,0.558,168240,0.471,False,0.874,0.0854,-7.745,1,What a Wonderfull World,0,0.0277,123.8,4,0.125
0,0.817,Ángel (Edición Deluxe),Mercedes,0.432,255093,0.336,False,0.000709,0.973,-8.544,1,Pobre Patria,15,0.036,103.733,4,0.0784
30,0.873,"20 Éxitos de ""La voz de América""",Mercedes,0.577,172030,0.265,False,1.04e-05,0.0962,-15.538,0,la de los humildes,24,0.0351,94.387,3,0.513
60,0.512,40 Obras Fundamentales,Mercedes,0.475,233080,0.189,False,0.0,0.0846,-16.954,1,Inconsciente Colectivo,4,0.0333,180.425,4,0.36
90,0.916,40 Obras Fundamentales,Mercedes,0.671,177533,0.108,False,2.55e-05,0.114,-18.966,0,Peoncito De Estancia,4,0.0553,104.653,3,0.347
120,0.809,Acústico - Mercedes Sosa,Mercedes,0.544,164000,0.365,False,1.11e-05,0.699,-12.666,1,Para Cantarle A Mi Gente,2,0.0636,116.183,4,0.473
150,0.324,Al Despertar,Mercedes,0.718,131667,0.609,False,4.76e-05,0.0308,-7.937,1,Del Tiempo De Mi Niñez,14,0.145,80.32,4,0.864
180,0.622,Alta Fidelidad,Mercedes,0.294,300933,0.289,False,1.84e-05,0.208,-11.82,0,Cuando Ya Me Empiece A Quedar Solo,3,0.0355,120.218,4,0.141
210,0.813,Amigos Míos,Mercedes,0.513,197307,0.145,False,0.0,0.1,-19.669,1,Siembra - Live,17,0.0793,66.569,5,0.398
240,0.983,Best Songs,Mercedes,0.667,150269,0.306,False,0.00593,0.101,-7.06,1,El Indio Muerto,17,0.0326,108.866,3,0.696
270,0.317,Cantata Sudamericana (Slidepack),Mercedes,0.707,266693,0.421,False,0.0,0.15,-9.923,1,Pampa Del Sur,4,0.0574,128.68,3,0.597
300,0.364,Cantora 2,Mercedes,0.574,253373,0.452,False,1.72e-06,0.164,-9.215,1,Violetas Para Violeta (with Joaquín Sabina),37,0.114,134.899,3,0.398
330,0.911,Christmas round the World,Mercedes,0.483,231613,0.0723,False,0.00144,0.0838,-20.379,0,Navidad Nuestra: 2. La Peregrinación (huella pampeana),1,0.0363,114.459,4,0.362
360,0.73,Con Sabor A Mercedes Sosa,Mercedes,0.63,204507,0.336,False,0.00268,0.147,-12.222,0,Zamba Del Regreso,9,0.0884,81.645,4,0.306
390,0.68,Corazón libre,Mercedes,0.681,161973,0.223,False,5.06e-05,0.0906,-12.601,0,Sufrida tierra mía,8,0.335,143.298,3,0.481
420,0.636,De Mí (Slidepack),Mercedes,0.44,352453,0.691,False,0.0,0.962,-7.483,0,Taki Ongoy II - Live Version,4,0.0574,91.249,4,0.326
450,0.957,Deja la Vida Volar - En Gira (En Vivo),Mercedes,0.433,144680,0.181,False,0.0012,0.923,-17.951,1,Aquellas Pequeñas Cosas - En Vivo,12,0.0558,81.452,4,0.372
480,0.857,Escondido En Mi País,Mercedes,0.512,216267,0.0674,False,0.000451,0.0727,-15.925,1,Si Llega A Ser Tucumana,19,0.0611,139.953,4,0.188
510,0.841,Gestos De Amor,Mercedes,0.467,246267,0.211,False,0.0,0.148,-11.733,1,Como Dos Extraños,16,0.0469,99.725,4,0.229
540,0.0101,Güemes,Mercedes,0.505,169080,0.497,False,0.446,0.223,-11.157,1,La Tierra En Armas,4,0.0332,72.395,4,0.723
570,0.868,Hermano,Mercedes,0.715,175067,0.0768,False,5.37e-05,0.0976,-11.896,1,La Bagualera,5,0.0432,77.118,3,0.19
600,0.878,La Negra - The Definitive Collection,Mercedes,0.64,238187,0.0572,False,0.0128,0.111,-16.776,0,Balderrama,6,0.0349,142.493,4,0.04
630,0.857,La Voz De La Zafra,Mercedes,0.694,163680,0.415,False,0.000233,0.126,-7.411,0,Tropero Padre,8,0.0282,98.202,3,0.487
660,0.34,Lucerito,Mercedes,0.595,259827,0.786,False,0.0,0.0786,-5.64,1,Lucerito,18,0.0722,95.106,4,0.663
690,0.825,Mercedes Sosa '87 (Slidepack),Mercedes,0.352,205720,0.309,False,0.0,0.107,-7.385,0,A Un Semejante,6,0.0512,174.7,4,0.194
720,0.654,Mercedes Sosa En Vivo En Europa (Slidepack),Mercedes,0.576,165787,0.499,False,2.06e-05,0.981,-12.158,1,Venas Abiertas - Live Version,6,0.403,147.987,3,0.824
750,0.895,Misa Criolla (Slidepack),Mercedes,0.337,184467,0.253,False,0.0323,0.093,-13.239,1,Misa Criolla - original version Arr. of the choral parts by J.G. Segade: Sanctus (Carnaval Cochabambino),3,0.0352,141.629,3,0.0393
780,0.974,Para Cantarle A Mi Gente (Slidepack),Mercedes,0.655,176360,0.049,False,0.000421,0.114,-12.179,0,Vidala Para Dormir A Un Chango,4,0.0352,82.373,3,0.203
810,0.923,Serenata Para La Tierra De Uno,Mercedes,0.667,193573,0.0958,False,0.0,0.112,-13.731,1,Juancito En La Siesta,11,0.0537,108.774,4,0.252
840,0.938,Será Posible El Sur?,Mercedes,0.211,261867,0.0596,False,0.000218,0.305,-19.203,1,Sera Posible El Sur?,14,0.0387,84.947,4,0.127
870,0.454,Siempre - Una Vida En Canciones,Mercedes,0.843,191787,0.55,False,0.0,0.132,-7.582,0,Todavía Cantamos,6,0.0832,126.622,4,0.54
900,0.733,Vengo A Ofrecer Mi Corazón,Mercedes,0.383,199933,0.396,False,0.0,0.294,-14.454,1,Venas Abiertas,7,0.0448,145.1,3,0.512
7,0.209,Awake and Breathe,B*Witched,0.708,189827,0.833,False,0.000213,0.354,-3.774,1,The Shy One,0,0.0305,104.0,4,0.962
37,0.441,C'est la Vie: The Collection,B*Witched,0.527,258173,0.372,False,0,0.0923,-11.756,1,Castles In the Air,11,0.0347,121.854,4,0.115
8,0.601,A Place In The World,Mary Chapin Carpenter,0.781,234293,0.578,False,0.000119,0.339,-7.373,1,Naked To The Eye,9,0.0323,117.802,4,0.711
38,0.935,"Come Darkness, Come Light: Twelve Songs Of Christmas",Mary Chapin Carpenter,0.657,209200,0.145,False,0.000247,0.127,-15.513,1,Hot Buttered Rum,0,0.0365,121.606,5,0.275
68,0.793,Hometown Girl,Mary Chapin Carpenter,0.439,202733,0.179,False,0.0,0.098,-17.438,1,Waltz,7,0.0557,159.538,3,0.334
98,0.861,Shooting Straight In The Dark,Mary Chapin Carpenter,0.637,260693,0.148,False,0.000341,0.105,-17.731,1,The Moon And St. Christopher,18,0.0285,100.184,4,0.204
128,0.714,State Of The Heart,Mary Chapin Carpenter,0.62,147240,0.336,False,0.0,0.237,-14.119,1,Down In Mary's Land,18,0.0349,79.472,4,0.789
158,0.183,The Calling,Mary Chapin Carpenter,0.405,257667,0.539,False,0.00108,0.094,-5.115,1,The Calling,18,0.0289,148.163,3,0.373
188,0.739,The Things That We Are Made Of,Mary Chapin Carpenter,0.619,228573,0.457,False,1.77e-05,0.106,-12.367,1,The Middle Ages,21,0.0446,117.382,4,0.411
4,0.129,"Blood, Sweat And Years",JT Money,0.828,248600,0.63,True,6.19e-05,0.239,-5.045,0,Sosa On That Chocha,3,0.133,95.067,4,0.88
34,0.348,G Pass (Hosted by DJ Show),JT Money,0.692,36101,0.16,True,0,0.618,-10.353,1,Outro (feat. DJ Show),0,0.821,100.499,4,0.59
64,0.0443,MIA - Morial (Hosted by DJ Show),JT Money,0.789,228624,0.521,True,0,0.113,-8.915,1,Fun Girl,0,0.284,146.033,4,0.824
94,0.214,P.G.P. (Pimpin' Gangsta Party),JT Money,0.78,265093,0.799,False,0,0.0849,-3.285,1,Grown Folks Music,2,0.136,94.992,4,0.65
124,0.165,Pimpin' On Wax,JT Money,0.932,298973,0.402,True,2.27e-06,0.0666,-6.687,0,Kite 2 Da Boys,22,0.326,96.039,4,0.568
8,0.000974,A Place In The Sun,Lit,0.505,198627,0.977,False,4.14e-06,0.153,-4.058,1,Quicksand,27,0.0787,134.895,4,0.413
38,0.000207,These Are the Days,Lit,0.441,199080,0.865,False,0.0,0.351,-5.768,1,Night in the Life,29,0.0294,155.804,4,0.89
16,0.0245,A Musical Massacre (Explicit),The Beatnuts,0.833,300427,0.791,True,3e-06,0.348,-7.355,1,You're A Clown featuring Biz Markie and Tyler Fernandez,7,0.179,95.924,4,0.777
46,0.00385,Street Level,The Beatnuts,0.821,237280,0.8,True,2.02e-06,0.0908,-7.182,0,Fried Chicken,22,0.389,98.087,4,0.48
